,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,25,54,41,0,0,3.271,3.312,41,12.002,12.002,12.086,12.086,12.134,12.134,0.799,0.799
1,25,54,41,0,0,3.273,3.311,45,12.003,12.003,12.079,12.079,12.132,12.132,0.798,0.798
2,25,54,41,0,0,3.273,3.311,45,12.003,12.003,12.079,12.079,12.132,12.132,0.799,0.799
3,25,54,41,0,0,3.273,3.311,48,12.007,12.007,12.089,12.089,12.140,12.140,0.799,0.799
4,25,54,41,0,0,3.277,3.312,44,11.997,11.997,12.089,12.089,12.127,12.127,0.799,0.799
5,25,54,41,0,0,3.274,3.309,44,12.007,12.007,12.079,12.079,12.128,12.128,0.799,0.799
6,25,54,41,0,0,3.274,3.309,45,12.007,12.007,12.079,12.079,12.128,12.128,0.799,0.799
7,25,54,41,0,0,3.270,3.311,43,12.003,12.003,12.089,12.089,12.126,12.126,0.800,0.800
8,25,54,41,0,0,3.277,3.313,47,11.994,11.994,12.087,12.087,12.134,12.134,0.800,0.800
9,25,54,41,0,0,3.277,3.313,47,11.994,11.994,12.087,12.087,12.134,12.134,0.799,0.799
10,25,54,41,0,0,3.273,3.312,42,11.992,11.992,12.091,12.091,12.140,12.140,0.800,0.800
11,25,54,41,0,0,3.269,3.310,42,12.011,12.011,12.075,12.075,12.131,12.131,0.800,0.800
12,25,54,41,0,0,3.278,3.312,43,12.002,12.002,12.078,12.078,12.137,12.137,0.799,0.799
13,25,54,41,0,0,3.278,3.312,43,12.002,12.002,12.078,12.078,12.137,12.137,0.799,0.799
14,25,54,41,0,0,3.277,3.313,50,11.997,11.997,12.090,12.090,12.132,12.132,0.801,0.801
15,25,54,41,0,0,3.275,3.313,50,11.989,11.989,12.077,12.077,12.128,12.128,0.799,0.799
16,25,54,41,0,0,3.275,3.313,51,11.989,11.989,12.077,12.077,12.128,12.128,0.802,0.802
17,25,54,41,0,0,3.273,3.314,50,11.995,11.995,12.089,12.089,12.134,12.134,0.800,0.800
18,25,54,41,0,0,3.271,3.312,54,11.995,11.995,12.085,12.085,12.119,12.119,0.799,0.799
19,25,54,41,0,0,3.271,3.312,54,11.995,11.995,12.085,12.085,12.119,12.119,0.794,0.794
20,25,54,41,0,0,3.277,3.313,52,12.001,12.001,12.078,12.078,12.132,12.132,0.799,0.799
21,25,54,41,0,0,3.273,3.312,56,11.998,11.998,12.078,12.078,12.132,12.132,0.799,0.799
22,25,54,41,0,0,3.274,3.312,56,12.001,12.001,12.084,12.084,12.126,12.126,0.798,0.798
23,25,54,41,0,0,3.274,3.312,50,12.001,12.001,12.084,12.084,12.126,12.126,0.790,0.790
24,25,54,41,0,0,3.271,3.313,51,11.992,11.992,12.086,12.086,12.126,12.126,0.800,0.800
25,25,54,41,0,0,3.273,3.311,51,12.001,12.001,12.081,12.081,12.126,12.126,0.800,0.800
26,25,54,41,0,0,3.273,3.311,51,12.001,12.001,12.081,12.081,12.126,12.126,0.798,0.798
27,25,54,41,0,0,3.273,3.312,51,11.997,11.997,12.075,12.075,12.127,12.127,0.794,0.794
28,25,54,41,0,0,3.278,3.312,56,11.994,11.994,12.083,12.083,12.126,12.126,0.800,0.800
29,25,54,41,0,0,3.274,3.312,56,11.992,11.992,12.080,12.080,12.133,12.133,0.799,0.799
30,25,54,41,0,0,3.274,3.312,52,11.992,11.992,12.080,12.080,12.133,12.133,0.799,0.799
31,25,54,41,0,0,3.277,3.312,51,12.003,12.003,12.079,12.079,12.131,12.131,0.800,0.800
32,25,54,41,0,0,3.272,3.312,50,11.997,11.997,12.078,12.078,12.129,12.129,0.797,0.797
33,25,54,41,0,0,3.272,3.312,50,11.997,11.997,12.078,12.078,12.129,12.129,0.799,0.799
34,25,54,41,0,0,3.268,3.313,50,11.999,11.999,12.089,12.089,12.124,12.124,0.798,0.798
35,25,54,41,0,0,3.275,3.313,51,11.998,11.998,12.074,12.074,12.124,12.124,0.799,0.799
36,25,54,41,0,0,3.273,3.311,51,11.995,11.995,12.078,12.078,12.132,12.132,0.798,0.798
37,25,54,41,0,0,3.273,3.311,57,11.995,11.995,12.078,12.078,12.132,12.132,0.799,0.799
38,25,54,41,0,0,3.273,3.313,52,11.990,11.990,12.085,12.085,12.126,12.126,0.798,0.798
