,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,25,54,42,0,0,3.274,3.312,43,12.003,12.003,12.078,12.078,12.134,12.134,0.799,0.799
1,25,54,42,0,0,3.277,3.313,45,11.994,11.994,12.092,12.092,12.130,12.130,0.799,0.799
2,25,54,41,0,0,3.277,3.313,45,11.994,11.994,12.092,12.092,12.130,12.130,0.799,0.799
3,25,54,41,0,0,3.271,3.312,45,12.004,12.004,12.081,12.081,12.129,12.129,0.799,0.799
4,25,54,41,0,0,3.275,3.312,43,11.998,11.998,12.083,12.083,12.130,12.130,0.799,0.799
5,25,54,41,0,0,3.274,3.312,44,11.993,11.993,12.088,12.088,12.127,12.127,0.798,0.798
6,25,54,41,0,0,3.274,3.312,44,11.993,11.993,12.088,12.088,12.127,12.127,0.799,0.799
7,25,54,41,0,0,3.275,3.314,45,11.991,11.991,12.091,12.091,12.142,12.142,0.799,0.799
8,25,54,41,0,0,3.276,3.312,43,12.001,12.001,12.086,12.086,12.129,12.129,0.799,0.799
9,25,54,42,0,0,3.271,3.312,43,11.994,11.994,12.085,12.085,12.132,12.132,0.798,0.798
10,25,54,41,0,0,3.271,3.312,45,11.994,11.994,12.085,12.085,12.132,12.132,0.800,0.800
11,25,54,41,0,0,3.276,3.313,44,12.002,12.002,12.077,12.077,12.125,12.125,0.799,0.799
12,25,54,41,0,0,3.275,3.313,55,11.989,11.989,12.064,12.064,12.119,12.119,0.797,0.797
13,25,54,42,0,0,3.274,3.312,55,11.992,11.992,12.071,12.071,12.117,12.117,0.800,0.800
14,25,54,42,0,0,3.274,3.312,58,11.992,11.992,12.071,12.071,12.117,12.117,0.803,0.803
15,25,54,42,0,0,3.274,3.312,46,11.993,11.993,12.070,12.070,12.120,12.120,0.794,0.794
16,25,54,42,0,0,3.269,3.312,52,11.989,11.989,12.069,12.069,12.123,12.123,0.799,0.799
17,25,54,42,0,0,3.269,3.312,52,11.989,11.989,12.069,12.069,12.123,12.123,0.799,0.799
18,25,54,42,0,0,3.277,3.315,56,11.994,11.994,12.073,12.073,12.126,12.126,0.787,0.787
19,25,54,42,0,0,3.274,3.314,62,11.993,11.993,12.068,12.068,12.128,12.128,0.797,0.797
20,25,54,42,0,0,3.278,3.313,62,11.982,11.982,12.070,12.070,12.115,12.115,0.798,0.798
21,25,54,42,0,0,3.278,3.313,65,11.982,11.982,12.070,12.070,12.115,12.115,0.798,0.798
22,25,54,42,0,0,3.271,3.313,53,11.985,11.985,12.079,12.079,12.127,12.127,0.800,0.800
23,25,54,42,0,0,3.274,3.315,68,11.988,11.988,12.068,12.068,12.121,12.121,0.800,0.800
24,25,54,42,0,0,3.274,3.315,68,11.988,11.988,12.068,12.068,12.121,12.121,0.806,0.806
25,25,54,42,0,0,3.271,3.312,55,11.984,11.984,12.064,12.064,12.120,12.120,0.799,0.799
