,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,26,54,41,0,0,3.272,3.312,50,12.002,12.002,12.073,12.073,12.132,12.132,0.799,0.799
1,26,54,41,0,0,3.272,3.311,49,12.003,12.003,12.082,12.082,12.130,12.130,0.799,0.799
2,26,54,41,0,0,3.277,3.312,47,12.001,12.001,12.087,12.087,12.131,12.131,0.799,0.799
3,26,54,41,0,0,3.276,3.312,47,11.996,11.996,12.091,12.091,12.133,12.133,0.799,0.799
4,26,54,41,0,0,3.276,3.312,52,11.996,11.996,12.091,12.091,12.133,12.133,0.798,0.798
5,26,54,41,0,0,3.274,3.311,48,12.003,12.003,12.082,12.082,12.131,12.131,0.799,0.799
6,26,54,41,0,0,3.271,3.312,47,11.999,11.999,12.081,12.081,12.137,12.137,0.799,0.799
7,26,54,41,0,0,3.271,3.312,47,11.999,11.999,12.081,12.081,12.137,12.137,0.799,0.799
8,26,54,41,0,0,3.275,3.311,52,12.003,12.003,12.086,12.086,12.125,12.125,0.798,0.798
9,26,54,41,0,0,3.279,3.311,47,12.003,12.003,12.092,12.092,12.131,12.131,0.798,0.798
10,26,54,41,0,0,3.274,3.311,50,11.999,11.999,12.090,12.090,12.129,12.129,0.798,0.798
11,26,54,41,0,0,3.274,3.312,42,12.001,12.001,12.089,12.089,12.135,12.135,0.800,0.800
12,26,54,41,0,0,3.274,3.312,42,12.001,12.001,12.089,12.089,12.135,12.135,0.799,0.799
13,26,54,41,0,0,3.271,3.313,45,12.000,12.000,12.085,12.085,12.133,12.133,0.798,0.798
14,26,54,41,0,0,3.272,3.312,54,11.987,11.987,12.081,12.081,12.119,12.119,0.798,0.798
15,26,54,42,0,0,3.272,3.312,54,11.987,11.987,12.081,12.081,12.119,12.119,0.798,0.798
16,26,54,42,0,0,3.271,3.312,53,11.996,11.996,12.076,12.076,12.122,12.122,0.799,0.799
17,26,54,42,0,0,3.274,3.312,56,12.000,12.000,12.079,12.079,12.120,12.120,0.802,0.802
18,26,54,42,0,0,3.275,3.313,51,11.995,11.995,12.077,12.077,12.121,12.121,0.801,0.801
19,26,54,42,0,0,3.275,3.313,51,11.995,11.995,12.077,12.077,12.121,12.121,0.797,0.797
20,26,54,42,0,0,3.274,3.313,55,11.994,11.994,12.077,12.077,12.129,12.129,0.798,0.798
21,26,54,42,0,0,3.271,3.312,53,11.998,11.998,12.089,12.089,12.126,12.126,0.801,0.801
22,26,54,42,0,0,3.272,3.313,53,11.997,11.997,12.071,12.071,12.129,12.129,0.799,0.799
23,26,54,42,0,0,3.272,3.313,54,11.997,11.997,12.071,12.071,12.129,12.129,0.798,0.798
24,26,54,42,0,0,3.273,3.312,64,11.997,11.997,12.080,12.080,12.126,12.126,0.802,0.802
25,26,54,42,0,0,3.274,3.314,53,11.996,11.996,12.084,12.084,12.131,12.131,0.798,0.798
26,26,54,42,0,0,3.274,3.314,53,11.996,11.996,12.084,12.084,12.131,12.131,0.798,0.798
27,26,54,42,0,0,3.268,3.312,63,11.992,11.992,12.086,12.086,12.134,12.134,0.800,0.800
28,26,54,42,0,0,3.275,3.312,63,11.990,11.990,12.068,12.068,12.122,12.122,0.798,0.798
29,26,54,42,0,0,3.275,3.312,63,11.990,11.990,12.068,12.068,12.122,12.122,0.800,0.800
30,26,54,42,0,0,3.269,3.312,60,11.988,11.988,12.078,12.078,12.122,12.122,0.807,0.807
31,26,54,42,0,0,3.275,3.313,53,11.996,11.996,12.074,12.074,12.117,12.117,0.798,0.798
32,26,54,42,0,0,3.267,3.312,53,12.001,12.001,12.084,12.084,12.122,12.122,0.803,0.803
33,26,54,42,0,0,3.267,3.312,56,12.001,12.001,12.084,12.084,12.122,12.122,0.798,0.798
34,26,54,42,0,0,3.277,3.312,58,12.000,12.000,12.072,12.072,12.124,12.124,0.799,0.799
35,26,54,42,0,0,3.274,3.312,60,11.997,11.997,12.080,12.080,12.125,12.125,0.801,0.801
36,26,54,42,0,0,3.274,3.312,60,11.997,11.997,12.080,12.080,12.125,12.125,0.798,0.798
37,26,54,42,0,0,3.272,3.311,57,11.992,11.992,12.077,12.077,12.122,12.122,0.800,0.800
38,26,54,42,0,0,3.272,3.312,55,11.994,11.994,12.078,12.078,12.125,12.125,0.793,0.793
39,26,54,42,0,0,3.274,3.312,55,11.982,11.982,12.077,12.077,12.131,12.131,0.799,0.799
40,26,54,42,0,0,3.274,3.312,55,11.982,11.982,12.077,12.077,12.131,12.131,0.800,0.800
41,26,54,42,0,0,3.276,3.312,55,11.995,11.995,12.077,12.077,12.126,12.126,0.805,0.805
42,26,54,42,0,0,3.272,3.313,52,11.992,11.992,12.078,12.078,12.120,12.120,0.798,0.798
43,26,54,42,0,0,3.272,3.313,52,11.992,11.992,12.078,12.078,12.120,12.120,0.799,0.799
44,26,54,42,0,0,3.270,3.312,59,11.996,11.996,12.078,12.078,12.124,12.124,0.800,0.800
45,26,54,42,0,0,3.274,3.313,53,11.998,11.998,12.078,12.078,12.134,12.134,0.800,0.800
46,26,54,42,0,0,3.277,3.312,53,11.998,11.998,12.075,12.075,12.132,12.132,0.793,0.793
47,26,54,42,0,0,3.277,3.312,53,11.998,11.998,12.075,12.075,12.132,12.132,0.792,0.792
48,26,54,42,0,0,3.272,3.312,65,11.997,11.997,12.088,12.088,12.129,12.129,0.799,0.799
49,26,54,42,0,0,3.275,3.313,60,11.995,11.995,12.057,12.057,12.122,12.122,0.801,0.801
50,26,54,42,0,0,3.275,3.313,60,11.995,11.995,12.057,12.057,12.122,12.122,0.798,0.798
51,26,54,42,0,0,3.274,3.312,61,11.990,11.990,12.075,12.075,12.132,12.132,0.797,0.797
52,26,54,42,0,0,3.278,3.313,62,11.994,11.994,12.077,12.077,12.132,12.132,0.798,0.798
53,26,54,42,0,0,3.273,3.313,62,11.993,11.993,12.074,12.074,12.126,12.126,0.799,0.799
54,26,54,42,0,0,3.273,3.313,58,11.993,11.993,12.074,12.074,12.126,12.126,0.801,0.801
55,26,54,42,0,0,3.275,3.312,61,11.997,11.997,12.075,12.075,12.132,12.132,0.786,0.786
56,26,54,42,0,0,3.270,3.310,61,11.996,11.996,12.068,12.068,12.126,12.126,0.798,0.798
57,26,54,42,0,0,3.270,3.310,60,11.996,11.996,12.068,12.068,12.126,12.126,0.799,0.799
58,26,54,42,0,0,3.272,3.312,54,11.989,11.989,12.074,12.074,12.130,12.130,0.798,0.798
59,26,54,42,0,0,3.276,3.312,60,11.993,11.993,12.074,12.074,12.122,12.122,0.791,0.791
60,26,54,42,0,0,3.277,3.312,60,12.000,12.000,12.078,12.078,12.126,12.126,0.797,0.797
61,26,54,42,0,0,3.277,3.312,56,12.000,12.000,12.078,12.078,12.126,12.126,0.803,0.803
62,26,54,42,0,0,3.273,3.312,51,11.996,11.996,12.061,12.061,12.131,12.131,0.798,0.798
63,26,54,42,0,0,3.272,3.313,59,11.994,11.994,12.084,12.084,12.124,12.124,0.799,0.799
64,26,54,42,0,0,3.272,3.313,59,11.994,11.994,12.084,12.084,12.124,12.124,0.797,0.797
65,26,54,42,0,0,3.274,3.312,53,11.999,11.999,12.076,12.076,12.132,12.132,0.798,0.798
66,26,54,42,0,0,3.274,3.312,57,11.998,11.998,12.080,12.080,12.122,12.122,0.804,0.804
67,26,54,42,0,0,3.277,3.313,57,11.989,11.989,12.073,12.073,12.122,12.122,0.798,0.798
68,26,54,42,0,0,3.277,3.313,60,11.989,11.989,12.073,12.073,12.122,12.122,0.798,0.798
69,26,54,42,0,0,3.271,3.314,59,11.999,11.999,12.081,12.081,12.122,12.122,0.799,0.799
70,26,54,42,0,0,3.273,3.314,64,11.995,11.995,12.071,12.071,12.128,12.128,0.798,0.798
71,26,54,42,0,0,3.273,3.314,64,11.995,11.995,12.071,12.071,12.128,12.128,0.803,0.803
72,26,54,42,0,0,3.273,3.311,62,11.996,11.996,12.078,12.078,12.125,12.125,0.795,0.795
73,26,54,42,0,0,3.272,3.313,61,12.001,12.001,12.080,12.080,12.126,12.126,0.797,0.797
74,26,54,42,0,0,3.275,3.312,61,11.997,11.997,12.078,12.078,12.134,12.134,0.797,0.797
75,25,54,42,0,0,3.275,3.312,64,11.997,11.997,12.078,12.078,12.134,12.134,0.800,0.800
76,25,54,42,0,0,3.275,3.313,63,11.998,11.998,12.080,12.080,12.125,12.125,0.799,0.799
77,25,54,42,0,0,3.274,3.312,60,11.990,11.990,12.084,12.084,12.121,12.121,0.792,0.792
78,25,54,42,0,0,3.274,3.312,60,11.990,11.990,12.084,12.084,12.121,12.121,0.800,0.800
79,25,54,42,0,0,3.273,3.312,61,11.997,11.997,12.080,12.080,12.123,12.123,0.798,0.798
80,25,54,42,0,0,3.273,3.313,58,11.994,11.994,12.077,12.077,12.130,12.130,0.794,0.794
81,25,54,42,0,0,3.277,3.314,56,11.993,11.993,12.074,12.074,12.122,12.122,0.799,0.799
82,25,54,42,0,0,3.277,3.314,56,11.993,11.993,12.074,12.074,12.122,12.122,0.798,0.798
83,25,54,42,0,0,3.277,3.313,58,11.992,11.992,12.081,12.081,12.130,12.130,0.808,0.808
