,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,25,54,41,0,0,3.275,3.312,51,11.987,11.987,12.082,12.082,12.129,12.129,0.799,0.799
1,25,54,41,0,0,3.267,3.312,51,12.002,12.002,12.086,12.086,12.125,12.125,0.798,0.798
2,25,54,41,0,0,3.267,3.312,48,12.002,12.002,12.086,12.086,12.125,12.125,0.798,0.798
3,25,54,41,0,0,3.273,3.310,54,12.008,12.008,12.069,12.069,12.131,12.131,0.798,0.798
4,25,54,41,0,0,3.272,3.311,54,12.002,12.002,12.089,12.089,12.137,12.137,0.799,0.799
5,25,54,41,0,0,3.271,3.311,54,11.998,11.998,12.086,12.086,12.132,12.132,0.799,0.799
6,25,54,41,0,0,3.271,3.311,47,11.998,11.998,12.086,12.086,12.132,12.132,0.798,0.798
7,25,54,41,0,0,3.272,3.312,51,11.997,11.997,12.087,12.087,12.135,12.135,0.798,0.798
8,25,54,41,0,0,3.275,3.312,51,11.998,11.998,12.091,12.091,12.132,12.132,0.799,0.799
9,25,54,41,0,0,3.275,3.312,51,11.998,11.998,12.091,12.091,12.132,12.132,0.798,0.798
10,25,54,41,0,0,3.277,3.312,47,12.003,12.003,12.085,12.085,12.132,12.132,0.799,0.799
11,25,54,41,0,0,3.269,3.313,49,12.003,12.003,12.090,12.090,12.134,12.134,0.798,0.798
12,25,54,41,0,0,3.269,3.313,49,12.003,12.003,12.090,12.090,12.134,12.134,0.799,0.799
13,25,54,41,0,0,3.269,3.311,49,12.004,12.004,12.087,12.087,12.130,12.130,0.798,0.798
14,25,54,41,0,0,3.275,3.311,60,11.977,11.977,12.066,12.066,12.113,12.113,0.801,0.801
15,25,54,42,0,0,3.275,3.311,60,11.977,11.977,12.066,12.066,12.113,12.113,0.799,0.799
16,25,54,42,0,0,3.278,3.311,62,11.971,11.971,12.057,12.057,12.117,12.117,0.799,0.799
17,25,54,42,0,0,3.274,3.313,59,11.978,11.978,12.054,12.054,12.110,12.110,0.798,0.798
18,25,54,42,0,0,3.273,3.312,59,11.968,11.968,12.043,12.043,12.106,12.106,0.811,0.811
19,25,54,42,0,0,3.273,3.312,69,11.968,11.968,12.043,12.043,12.106,12.106,0.797,0.797
20,25,54,42,0,0,3.273,3.313,73,11.979,11.979,12.065,12.065,12.106,12.106,0.805,0.805
21,25,54,42,0,0,3.272,3.312,67,11.971,11.971,12.060,12.060,12.111,12.111,0.799,0.799
22,25,54,42,0,0,3.272,3.312,67,11.971,11.971,12.060,12.060,12.111,12.111,0.798,0.798
23,25,54,42,0,0,3.274,3.314,64,11.973,11.973,12.057,12.057,12.108,12.108,0.799,0.799
24,25,54,42,0,0,3.273,3.313,74,11.979,11.979,12.054,12.054,12.113,12.113,0.800,0.800
