,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,21,42,37,0,0,3.273,3.308,41,12.004,12.004,12.084,12.084,12.130,12.130,0.800,0.800
1,21,42,37,0,0,3.271,3.311,40,12.005,12.005,12.093,12.093,12.132,12.132,0.800,0.800
2,21,42,37,0,0,3.271,3.311,41,12.014,12.014,12.073,12.073,12.131,12.131,0.800,0.800
3,21,42,37,0,0,3.274,3.310,41,11.998,11.998,12.092,12.092,12.134,12.134,0.800,0.800
4,21,42,38,0,0,3.274,3.310,42,11.998,11.998,12.092,12.092,12.134,12.134,0.799,0.799
5,21,42,38,0,0,3.276,3.309,45,12.001,12.001,12.085,12.085,12.136,12.136,0.799,0.799
6,21,42,38,0,0,3.276,3.310,47,12.003,12.003,12.085,12.085,12.132,12.132,0.799,0.799
7,21,42,38,0,0,3.276,3.310,47,12.003,12.003,12.085,12.085,12.132,12.132,0.801,0.801
8,21,42,37,0,0,3.278,3.310,47,11.993,11.993,12.093,12.093,12.134,12.134,0.800,0.800
9,21,42,38,0,0,3.269,3.310,44,12.003,12.003,12.079,12.079,12.127,12.127,0.800,0.800
10,21,42,38,0,0,3.274,3.310,41,12.008,12.008,12.089,12.089,12.140,12.140,0.800,0.800
11,21,42,38,0,0,3.274,3.310,41,12.008,12.008,12.089,12.089,12.140,12.140,0.799,0.799
12,21,42,38,0,0,3.273,3.310,63,11.999,11.999,12.078,12.078,12.128,12.128,0.799,0.799
13,21,42,38,0,0,3.274,3.310,67,11.995,11.995,12.076,12.076,12.126,12.126,0.800,0.800
14,21,42,38,0,0,3.276,3.313,67,11.993,11.993,12.088,12.088,12.131,12.131,0.792,0.792
15,21,42,38,0,0,3.276,3.313,68,11.993,11.993,12.088,12.088,12.131,12.131,0.797,0.797
16,21,42,38,0,0,3.273,3.311,47,11.999,11.999,12.082,12.082,12.137,12.137,0.795,0.795
17,21,42,38,0,0,3.269,3.311,69,11.997,11.997,12.078,12.078,12.133,12.133,0.792,0.792
18,21,42,38,0,0,3.269,3.311,69,11.997,11.997,12.078,12.078,12.133,12.133,0.799,0.799
19,21,42,38,0,0,3.272,3.311,65,11.995,11.995,12.072,12.072,12.133,12.133,0.798,0.798
20,21,43,38,0,0,3.271,3.311,64,12.003,12.003,12.073,12.073,12.123,12.123,0.798,0.798
21,21,43,38,0,0,3.275,3.312,64,11.997,11.997,12.081,12.081,12.134,12.134,0.798,0.798
22,21,43,38,0,0,3.275,3.312,63,11.997,11.997,12.081,12.081,12.134,12.134,0.796,0.796
23,21,43,38,0,0,3.270,3.312,64,12.001,12.001,12.084,12.084,12.135,12.135,0.799,0.799
24,21,43,38,0,0,3.269,3.312,49,11.992,11.992,12.087,12.087,12.130,12.130,0.798,0.798
25,21,43,38,0,0,3.269,3.312,49,11.992,11.992,12.087,12.087,12.130,12.130,0.798,0.798
26,21,43,38,0,0,3.273,3.310,65,11.997,11.997,12.081,12.081,12.122,12.122,0.796,0.796
27,21,43,38,0,0,3.273,3.311,61,11.997,11.997,12.078,12.078,12.122,12.122,0.802,0.802
28,21,43,38,0,0,3.271,3.312,61,11.990,11.990,12.070,12.070,12.134,12.134,0.797,0.797
29,21,43,38,0,0,3.271,3.312,53,11.990,11.990,12.070,12.070,12.134,12.134,0.800,0.800
30,21,44,39,0,0,3.272,3.309,64,11.992,11.992,12.075,12.075,12.117,12.117,0.789,0.789
31,21,44,39,0,0,3.275,3.312,55,11.998,11.998,12.073,12.073,12.119,12.119,0.797,0.797
32,21,44,39,0,0,3.275,3.312,55,11.998,11.998,12.073,12.073,12.119,12.119,0.796,0.796
33,21,44,39,0,0,3.274,3.312,68,11.991,11.991,12.078,12.078,12.118,12.118,0.797,0.797
34,21,44,39,0,0,3.272,3.309,60,11.991,11.991,12.078,12.078,12.122,12.122,0.800,0.800
35,21,44,39,0,0,3.274,3.311,70,11.991,11.991,12.087,12.087,12.127,12.127,0.797,0.797
36,21,44,39,0,0,3.274,3.311,70,11.991,11.991,12.087,12.087,12.127,12.127,0.799,0.799
37,21,44,39,0,0,3.276,3.312,61,12.003,12.003,12.074,12.074,12.133,12.133,0.798,0.798
38,21,44,39,0,0,3.268,3.312,67,11.995,11.995,12.082,12.082,12.131,12.131,0.800,0.800
39,21,44,39,0,0,3.268,3.312,67,11.995,11.995,12.082,12.082,12.131,12.131,0.799,0.799
40,21,44,39,0,0,3.273,3.311,64,11.992,11.992,12.074,12.074,12.116,12.116,0.799,0.799
41,21,44,39,0,0,3.269,3.311,69,11.997,11.997,12.070,12.070,12.124,12.124,0.800,0.800
42,21,44,39,0,0,3.270,3.311,59,11.995,11.995,12.087,12.087,12.132,12.132,0.805,0.805
43,21,44,39,0,0,3.270,3.311,59,11.995,11.995,12.087,12.087,12.132,12.132,0.799,0.799
44,21,45,39,0,0,3.273,3.310,66,11.994,11.994,12.072,12.072,12.126,12.126,0.799,0.799
45,21,45,39,0,0,3.273,3.312,60,11.988,11.988,12.083,12.083,12.120,12.120,0.792,0.792
46,21,45,39,0,0,3.273,3.311,60,11.996,11.996,12.078,12.078,12.124,12.124,0.797,0.797
47,21,45,39,0,0,3.273,3.311,54,11.996,11.996,12.078,12.078,12.124,12.124,0.799,0.799
48,21,45,39,0,0,3.273,3.310,68,11.993,11.993,12.072,12.072,12.124,12.124,0.798,0.798
49,21,45,39,0,0,3.274,3.312,68,11.989,11.989,12.076,12.076,12.126,12.126,0.799,0.799
50,21,45,39,0,0,3.276,3.312,68,11.991,11.991,12.084,12.084,12.129,12.129,0.799,0.799
51,21,45,39,0,0,3.276,3.312,65,11.991,11.991,12.084,12.084,12.129,12.129,0.796,0.796
52,21,45,39,0,0,3.269,3.313,63,11.988,11.988,12.072,12.072,12.128,12.128,0.799,0.799
