,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,23,48,39,0,0,3.272,3.311,47,11.998,11.998,12.082,12.082,12.134,12.134,0.799,0.799
1,23,48,39,0,0,3.266,3.310,47,12.003,12.003,12.081,12.081,12.130,12.130,0.799,0.799
2,23,48,39,0,0,3.270,3.311,47,11.998,11.998,12.085,12.085,12.134,12.134,0.799,0.799
3,23,48,39,0,0,3.270,3.311,46,11.998,11.998,12.085,12.085,12.134,12.134,0.798,0.798
4,23,48,39,0,0,3.270,3.312,46,12.000,12.000,12.086,12.086,12.132,12.132,0.799,0.799
5,23,48,39,0,0,3.273,3.312,50,12.004,12.004,12.094,12.094,12.131,12.131,0.798,0.798
6,23,48,39,0,0,3.273,3.312,50,12.004,12.004,12.094,12.094,12.131,12.131,0.798,0.798
7,23,48,39,0,0,3.270,3.312,47,12.001,12.001,12.089,12.089,12.134,12.134,0.799,0.799
8,23,48,39,0,0,3.270,3.311,49,12.001,12.001,12.083,12.083,12.127,12.127,0.798,0.798
9,23,48,39,0,0,3.270,3.311,49,12.001,12.001,12.083,12.083,12.127,12.127,0.798,0.798
10,23,48,39,0,0,3.272,3.311,48,12.000,12.000,12.083,12.083,12.129,12.129,0.798,0.798
11,23,48,39,0,0,3.274,3.312,49,12.000,12.000,12.082,12.082,12.133,12.133,0.798,0.798
12,23,48,39,0,0,3.275,3.314,49,11.973,11.973,12.053,12.053,12.113,12.113,0.801,0.801
13,23,48,39,0,0,3.275,3.314,84,11.973,11.973,12.053,12.053,12.113,12.113,0.796,0.796
14,23,48,40,0,0,3.277,3.313,54,11.974,11.974,12.056,12.056,12.110,12.110,0.797,0.797
15,23,48,40,0,0,3.274,3.312,78,11.965,11.965,12.051,12.051,12.104,12.104,0.798,0.798
16,23,48,40,0,0,3.274,3.312,78,11.965,11.965,12.051,12.051,12.104,12.104,0.798,0.798
17,23,48,40,0,0,3.272,3.313,84,11.986,11.986,12.069,12.069,12.121,12.121,0.798,0.798
18,23,48,40,0,0,3.272,3.310,73,11.965,11.965,12.061,12.061,12.104,12.104,0.791,0.791
19,23,48,40,0,0,3.272,3.310,73,11.965,11.965,12.061,12.061,12.104,12.104,0.796,0.796
20,23,48,40,0,0,3.270,3.312,79,11.964,11.964,12.035,12.035,12.106,12.106,0.798,0.798
21,23,48,40,0,0,3.271,3.312,81,11.976,11.976,12.060,12.060,12.106,12.106,0.797,0.797
22,23,48,40,0,0,3.273,3.311,81,11.973,11.973,12.058,12.058,12.097,12.097,0.798,0.798
23,23,48,40,0,0,3.273,3.311,76,11.973,11.973,12.058,12.058,12.097,12.097,0.775,0.775
24,23,48,40,0,0,3.271,3.313,84,11.967,11.967,12.061,12.061,12.100,12.100,0.795,0.795
25,23,48,40,0,0,3.272,3.313,83,11.966,11.966,12.044,12.044,12.097,12.097,0.799,0.799
26,23,48,40,0,0,3.272,3.313,83,11.966,11.966,12.044,12.044,12.097,12.097,0.798,0.798
27,23,48,40,0,0,3.270,3.313,52,11.971,11.971,12.038,12.038,12.100,12.100,0.804,0.804
28,23,48,40,0,0,3.269,3.312,82,11.976,11.976,12.053,12.053,12.096,12.096,0.797,0.797
29,23,48,40,0,0,3.271,3.315,82,11.964,11.964,12.043,12.043,12.100,12.100,0.793,0.793
30,23,48,40,0,0,3.271,3.315,84,11.964,11.964,12.043,12.043,12.100,12.100,0.809,0.809
31,23,48,40,0,0,3.273,3.313,70,11.971,11.971,12.046,12.046,12.107,12.107,0.798,0.798
32,23,48,40,0,0,3.269,3.314,80,11.982,11.982,12.054,12.054,12.098,12.098,0.798,0.798
33,23,48,40,0,0,3.269,3.314,80,11.982,11.982,12.054,12.054,12.098,12.098,0.797,0.797
34,23,48,40,0,0,3.276,3.314,73,11.967,11.967,12.050,12.050,12.110,12.110,0.792,0.792
35,23,48,40,0,0,3.271,3.312,84,11.965,11.965,12.042,12.042,12.099,12.099,0.796,0.796
36,23,48,40,0,0,3.275,3.313,84,11.965,11.965,12.027,12.027,12.094,12.094,0.795,0.795
37,23,48,40,0,0,3.275,3.313,64,11.965,11.965,12.027,12.027,12.094,12.094,0.796,0.796
38,23,48,40,0,0,3.276,3.314,76,11.970,11.970,12.043,12.043,12.111,12.111,0.801,0.801
39,23,48,40,0,0,3.274,3.312,81,11.965,11.965,12.048,12.048,12.104,12.104,0.798,0.798
40,23,48,40,0,0,3.274,3.312,81,11.965,11.965,12.048,12.048,12.104,12.104,0.798,0.798
41,23,48,41,0,0,3.272,3.311,54,11.965,11.965,12.028,12.028,12.098,12.098,0.799,0.799
42,23,48,41,0,0,3.269,3.312,80,11.971,11.971,12.048,12.048,12.094,12.094,0.796,0.796
43,23,48,40,0,0,3.272,3.312,80,11.959,11.959,12.021,12.021,12.095,12.095,0.798,0.798
44,23,48,41,0,0,3.272,3.312,56,11.959,11.959,12.021,12.021,12.095,12.095,0.800,0.800
45,23,48,41,0,0,3.273,3.314,77,11.963,11.963,12.057,12.057,12.098,12.098,0.795,0.795
46,23,48,41,0,0,3.276,3.313,81,11.959,11.959,12.046,12.046,12.090,12.090,0.799,0.799
47,23,48,41,0,0,3.276,3.313,81,11.959,11.959,12.046,12.046,12.090,12.090,0.791,0.791
48,23,48,41,0,0,3.277,3.311,78,11.968,11.968,12.059,12.059,12.111,12.111,0.796,0.796
49,23,48,41,0,0,3.273,3.312,76,11.974,11.974,12.049,12.049,12.105,12.105,0.799,0.799
50,23,48,41,0,0,3.274,3.315,76,11.973,11.973,12.050,12.050,12.100,12.100,0.797,0.797
51,23,48,41,0,0,3.274,3.315,68,11.973,11.973,12.050,12.050,12.100,12.100,0.804,0.804
52,23,48,41,0,0,3.276,3.313,59,11.972,11.972,12.047,12.047,12.108,12.108,0.796,0.796
53,23,48,41,0,0,3.274,3.313,67,11.967,11.967,12.027,12.027,12.095,12.095,0.779,0.779
54,23,48,41,0,0,3.274,3.313,67,11.967,11.967,12.027,12.027,12.095,12.095,0.797,0.797
55,23,48,41,0,0,3.278,3.312,82,11.973,11.973,12.041,12.041,12.105,12.105,0.800,0.800
56,23,48,41,0,0,3.273,3.312,81,11.982,11.982,12.067,12.067,12.107,12.107,0.799,0.799
57,23,49,41,0,0,3.273,3.312,81,11.982,11.982,12.067,12.067,12.107,12.107,0.804,0.804
58,23,49,41,0,0,3.274,3.312,80,11.971,11.971,12.056,12.056,12.092,12.092,0.784,0.784
59,23,49,41,0,0,3.271,3.312,59,11.958,11.958,12.031,12.031,12.100,12.100,0.799,0.799
60,23,49,41,0,0,3.273,3.312,83,11.965,11.965,12.049,12.049,12.100,12.100,0.798,0.798
61,23,49,41,0,0,3.273,3.312,83,11.965,11.965,12.049,12.049,12.100,12.100,0.789,0.789
62,23,49,41,0,0,3.269,3.312,63,11.975,11.975,12.062,12.062,12.103,12.103,0.795,0.795
63,23,49,41,0,0,3.274,3.313,83,11.980,11.980,12.059,12.059,12.119,12.119,0.800,0.800
64,23,49,41,0,0,3.274,3.313,83,11.980,11.980,12.059,12.059,12.119,12.119,0.798,0.798
65,23,49,41,0,0,3.272,3.310,84,11.966,11.966,12.044,12.044,12.099,12.099,0.798,0.798
66,23,49,41,0,0,3.270,3.312,73,11.963,11.963,12.034,12.034,12.085,12.085,0.807,0.807
67,23,49,41,0,0,3.277,3.312,82,11.964,11.964,12.057,12.057,12.111,12.111,0.803,0.803
68,23,49,41,0,0,3.277,3.312,82,11.964,11.964,12.057,12.057,12.111,12.111,0.799,0.799
69,23,49,41,0,0,3.273,3.311,65,11.973,11.973,12.060,12.060,12.100,12.100,0.798,0.798
70,23,49,41,0,0,3.268,3.313,79,11.983,11.983,12.049,12.049,12.105,12.105,0.801,0.801
71,23,49,41,0,0,3.268,3.313,79,11.983,11.983,12.049,12.049,12.105,12.105,0.798,0.798
72,23,49,41,0,0,3.272,3.314,82,11.961,11.961,12.049,12.049,12.103,12.103,0.780,0.780
73,23,49,41,0,0,3.272,3.312,69,11.972,11.972,12.056,12.056,12.098,12.098,0.796,0.796
74,23,49,41,0,0,3.275,3.312,55,11.961,11.961,12.058,12.058,12.090,12.090,0.796,0.796
75,23,49,41,0,0,3.275,3.312,55,11.961,11.961,12.058,12.058,12.090,12.090,0.788,0.788
76,23,49,41,0,0,3.274,3.313,80,11.971,11.971,12.045,12.045,12.095,12.095,0.796,0.796
77,23,49,41,0,0,3.276,3.312,83,11.970,11.970,12.056,12.056,12.095,12.095,0.814,0.814
78,23,49,41,0,0,3.276,3.312,83,11.970,11.970,12.056,12.056,12.095,12.095,0.785,0.785
79,23,49,41,0,0,3.271,3.313,84,11.971,11.971,12.046,12.046,12.116,12.116,0.797,0.797
80,23,49,41,0,0,3.271,3.311,79,11.958,11.958,12.035,12.035,12.088,12.088,0.780,0.780
81,23,49,41,0,0,3.277,3.312,51,11.966,11.966,12.046,12.046,12.089,12.089,0.798,0.798
82,23,49,41,0,0,3.277,3.312,51,11.966,11.966,12.046,12.046,12.089,12.089,0.797,0.797
83,23,49,41,0,0,3.276,3.313,62,11.972,11.972,12.066,12.066,12.102,12.102,0.798,0.798
84,23,49,41,0,0,3.274,3.312,73,11.957,11.957,12.032,12.032,12.094,12.094,0.804,0.804
85,23,49,41,0,0,3.274,3.312,73,11.957,11.957,12.032,12.032,12.094,12.094,0.797,0.797
86,23,49,41,0,0,3.269,3.312,76,11.960,11.960,12.046,12.046,12.101,12.101,0.788,0.788
87,23,49,41,0,0,3.277,3.312,80,11.973,11.973,12.057,12.057,12.097,12.097,0.798,0.798
