,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,24,52,40,0,0,3.273,3.311,44,12.004,12.004,12.078,12.078,12.132,12.132,0.799,0.799
1,24,52,40,0,0,3.273,3.311,43,12.004,12.004,12.078,12.078,12.132,12.132,0.798,0.798
2,24,52,40,0,0,3.273,3.309,43,12.001,12.001,12.078,12.078,12.143,12.143,0.799,0.799
3,24,52,40,0,0,3.274,3.310,42,12.003,12.003,12.077,12.077,12.127,12.127,0.799,0.799
4,24,52,40,0,0,3.272,3.309,42,11.995,11.995,12.088,12.088,12.118,12.118,0.799,0.799
5,24,52,40,0,0,3.272,3.309,46,11.995,11.995,12.088,12.088,12.118,12.118,0.799,0.799
6,24,52,40,0,0,3.280,3.310,43,11.991,11.991,12.087,12.087,12.135,12.135,0.799,0.799
7,24,52,40,0,0,3.272,3.312,43,12.002,12.002,12.084,12.084,12.128,12.128,0.799,0.799
8,24,52,40,0,0,3.272,3.312,43,12.002,12.002,12.084,12.084,12.128,12.128,0.799,0.799
9,24,52,40,0,0,3.273,3.312,46,12.006,12.006,12.080,12.080,12.122,12.122,0.799,0.799
10,24,52,40,0,0,3.275,3.310,42,12.001,12.001,12.088,12.088,12.129,12.129,0.799,0.799
11,24,52,40,0,0,3.275,3.311,42,11.992,11.992,12.085,12.085,12.136,12.136,0.799,0.799
12,24,52,40,0,0,3.275,3.311,47,11.992,11.992,12.085,12.085,12.136,12.136,0.798,0.798
13,24,52,40,0,0,3.275,3.312,76,11.985,11.985,12.061,12.061,12.114,12.114,0.794,0.794
14,24,52,40,0,0,3.274,3.313,76,11.978,11.978,12.043,12.043,12.103,12.103,0.798,0.798
15,24,52,40,0,0,3.274,3.313,72,11.978,11.978,12.043,12.043,12.103,12.103,0.796,0.796
16,24,52,40,0,0,3.272,3.313,79,11.953,11.953,12.039,12.039,12.082,12.082,0.815,0.815
17,24,52,40,0,0,3.272,3.313,78,11.966,11.966,12.052,12.052,12.106,12.106,0.798,0.798
18,24,52,40,0,0,3.272,3.313,78,11.966,11.966,12.052,12.052,12.106,12.106,0.793,0.793
19,24,52,40,0,0,3.274,3.314,69,11.968,11.968,12.046,12.046,12.115,12.115,0.814,0.814
20,24,52,40,0,0,3.269,3.312,72,11.971,11.971,12.062,12.062,12.096,12.096,0.806,0.806
21,24,52,41,0,0,3.277,3.313,72,11.966,11.966,12.029,12.029,12.081,12.081,0.813,0.813
22,24,52,41,0,0,3.277,3.313,75,11.966,11.966,12.029,12.029,12.081,12.081,0.794,0.794
23,24,52,41,0,0,3.276,3.312,80,11.966,11.966,12.050,12.050,12.101,12.101,0.805,0.805
24,24,52,41,0,0,3.273,3.312,73,11.961,11.961,12.058,12.058,12.099,12.099,0.799,0.799
25,24,52,41,0,0,3.273,3.312,73,11.961,11.961,12.058,12.058,12.099,12.099,0.800,0.800
26,24,52,41,0,0,3.273,3.313,80,11.959,11.959,12.047,12.047,12.089,12.089,0.801,0.801
27,24,52,41,0,0,3.272,3.312,80,11.966,11.966,12.058,12.058,12.093,12.093,0.800,0.800
28,24,52,41,0,0,3.273,3.312,80,11.968,11.968,12.047,12.047,12.091,12.091,0.795,0.795
29,24,52,41,0,0,3.273,3.312,72,11.968,11.968,12.047,12.047,12.091,12.091,0.814,0.814
30,24,52,41,0,0,3.273,3.313,78,11.971,11.971,12.042,12.042,12.105,12.105,0.790,0.790
31,24,52,41,0,0,3.275,3.313,78,11.961,11.961,12.044,12.044,12.095,12.095,0.804,0.804
32,24,52,41,0,0,3.275,3.313,78,11.961,11.961,12.044,12.044,12.095,12.095,0.800,0.800
33,24,52,41,0,0,3.268,3.311,77,11.961,11.961,12.029,12.029,12.094,12.094,0.795,0.795
34,24,52,41,0,0,3.271,3.314,77,11.960,11.960,12.039,12.039,12.084,12.084,0.787,0.787
35,24,52,41,0,0,3.272,3.313,76,11.942,11.942,12.043,12.043,12.057,12.057,0.798,0.798
36,24,52,41,0,0,3.272,3.313,72,11.942,11.942,12.043,12.043,12.057,12.057,0.809,0.809
37,24,52,41,0,0,3.273,3.312,80,11.961,11.961,12.047,12.047,12.088,12.088,0.796,0.796
38,24,52,41,0,0,3.269,3.314,75,11.966,11.966,12.047,12.047,12.087,12.087,0.799,0.799
39,24,52,41,0,0,3.269,3.314,75,11.966,11.966,12.047,12.047,12.087,12.087,0.800,0.800
40,24,52,41,0,0,3.275,3.312,75,11.960,11.960,12.051,12.051,12.100,12.100,0.797,0.797
41,24,52,41,0,0,3.273,3.313,77,11.954,11.954,12.030,12.030,12.092,12.092,0.810,0.810
42,24,52,41,0,0,3.273,3.314,77,11.952,11.952,12.036,12.036,12.077,12.077,0.793,0.793
43,24,52,41,0,0,3.273,3.314,75,11.952,11.952,12.036,12.036,12.077,12.077,0.795,0.795
44,24,52,41,0,0,3.279,3.314,79,11.957,11.957,12.044,12.044,12.106,12.106,0.776,0.776
45,24,52,41,0,0,3.277,3.313,79,11.960,11.960,12.026,12.026,12.090,12.090,0.797,0.797
46,24,52,42,0,0,3.277,3.313,78,11.960,11.960,12.026,12.026,12.090,12.090,0.803,0.803
47,24,52,42,0,0,3.274,3.313,77,11.966,11.966,12.039,12.039,12.077,12.077,0.801,0.801
48,24,52,42,0,0,3.271,3.314,68,11.956,11.956,12.044,12.044,12.089,12.089,0.797,0.797
49,24,52,42,0,0,3.271,3.314,68,11.956,11.956,12.044,12.044,12.089,12.089,0.794,0.794
50,24,52,42,0,0,3.272,3.313,81,11.962,11.962,12.056,12.056,12.105,12.105,0.810,0.810
51,24,52,42,0,0,3.272,3.312,81,11.959,11.959,12.035,12.035,12.080,12.080,0.808,0.808
52,24,52,42,0,0,3.275,3.313,81,11.965,11.965,12.025,12.025,12.087,12.087,0.802,0.802
53,24,52,42,0,0,3.275,3.313,77,11.965,11.965,12.025,12.025,12.087,12.087,0.799,0.799
54,24,52,42,0,0,3.274,3.312,75,11.959,11.959,12.055,12.055,12.108,12.108,0.795,0.795
55,24,52,42,0,0,3.273,3.314,80,11.962,11.962,12.044,12.044,12.096,12.096,0.793,0.793
56,24,52,42,0,0,3.273,3.314,80,11.962,11.962,12.044,12.044,12.096,12.096,0.799,0.799
57,24,52,42,0,0,3.273,3.312,78,11.973,11.973,12.050,12.050,12.098,12.098,0.799,0.799
58,24,52,42,0,0,3.273,3.314,77,11.972,11.972,12.032,12.032,12.100,12.100,0.798,0.798
59,24,52,42,0,0,3.273,3.314,77,11.972,11.972,12.032,12.032,12.100,12.100,0.811,0.811
60,24,52,42,0,0,3.269,3.310,79,11.963,11.963,12.047,12.047,12.072,12.072,0.799,0.799
61,24,52,42,0,0,3.277,3.312,82,11.971,11.971,12.052,12.052,12.095,12.095,0.795,0.795
62,24,52,42,0,0,3.271,3.313,76,11.970,11.970,12.030,12.030,12.092,12.092,0.801,0.801
63,24,52,42,0,0,3.271,3.313,76,11.970,11.970,12.030,12.030,12.092,12.092,0.797,0.797
64,24,52,42,0,0,3.273,3.312,74,11.959,11.959,12.034,12.034,12.108,12.108,0.798,0.798
65,24,52,42,0,0,3.271,3.314,76,11.974,11.974,12.053,12.053,12.100,12.100,0.810,0.810
66,24,52,42,0,0,3.272,3.312,76,11.963,11.963,12.037,12.037,12.089,12.089,0.804,0.804
67,24,52,42,0,0,3.272,3.312,77,11.963,11.963,12.037,12.037,12.089,12.089,0.795,0.795
68,24,52,42,0,0,3.273,3.312,71,11.962,11.962,12.041,12.041,12.099,12.099,0.795,0.795
69,24,52,42,0,0,3.272,3.313,72,11.959,11.959,12.032,12.032,12.096,12.096,0.802,0.802
70,24,52,42,0,0,3.272,3.313,72,11.959,11.959,12.032,12.032,12.096,12.096,0.780,0.780
71,24,52,42,0,0,3.272,3.314,78,11.960,11.960,12.036,12.036,12.097,12.097,0.795,0.795
72,24,52,42,0,0,3.276,3.312,75,11.962,11.962,12.046,12.046,12.102,12.102,0.796,0.796
73,24,52,42,0,0,3.275,3.314,75,11.974,11.974,12.064,12.064,12.105,12.105,0.803,0.803
74,24,52,42,0,0,3.275,3.314,75,11.974,11.974,12.064,12.064,12.105,12.105,0.804,0.804
75,24,52,42,0,0,3.271,3.314,77,11.965,11.965,12.040,12.040,12.103,12.103,0.818,0.818
76,24,52,42,0,0,3.273,3.311,77,11.960,11.960,12.042,12.042,12.080,12.080,0.800,0.800
77,24,52,42,0,0,3.273,3.311,77,11.960,11.960,12.042,12.042,12.080,12.080,0.796,0.796
78,24,52,42,0,0,3.273,3.313,78,11.973,11.973,12.035,12.035,12.096,12.096,0.797,0.797
79,24,52,42,0,0,3.272,3.313,69,11.960,11.960,12.047,12.047,12.103,12.103,0.801,0.801
80,24,52,42,0,0,3.272,3.314,69,11.970,11.970,12.038,12.038,12.093,12.093,0.802,0.802
81,24,52,42,0,0,3.272,3.314,77,11.970,11.970,12.038,12.038,12.093,12.093,0.794,0.794
82,24,52,42,0,0,3.275,3.314,79,11.949,11.949,12.041,12.041,12.064,12.064,0.798,0.798
83,24,52,42,0,0,3.274,3.314,75,11.952,11.952,12.031,12.031,12.072,12.072,0.796,0.796
84,24,52,42,0,0,3.274,3.314,75,11.952,11.952,12.031,12.031,12.072,12.072,0.795,0.795
85,24,52,42,0,0,3.274,3.312,78,11.946,11.946,12.025,12.025,12.099,12.099,0.802,0.802
86,24,52,42,0,0,3.269,3.315,79,11.955,11.955,12.034,12.034,12.083,12.083,0.797,0.797
87,24,52,42,0,0,3.271,3.315,79,11.968,11.968,12.057,12.057,12.115,12.115,0.796,0.796
88,24,52,42,0,0,3.271,3.315,77,11.968,11.968,12.057,12.057,12.115,12.115,0.796,0.796
89,24,52,42,0,0,3.274,3.313,81,11.960,11.960,12.054,12.054,12.100,12.100,0.805,0.805
90,24,52,42,0,0,3.275,3.313,81,11.963,11.963,12.035,12.035,12.088,12.088,0.788,0.788
91,24,52,42,0,0,3.275,3.313,81,11.963,11.963,12.035,12.035,12.088,12.088,0.797,0.797
92,24,52,42,0,0,3.274,3.313,79,11.960,11.960,12.051,12.051,12.092,12.092,0.804,0.804
93,24,52,42,0,0,3.272,3.313,74,11.958,11.958,12.058,12.058,12.083,12.083,0.795,0.795
94,24,52,42,0,0,3.273,3.313,80,11.951,11.951,12.031,12.031,12.099,12.099,0.801,0.801
95,24,52,42,0,0,3.273,3.313,80,11.951,11.951,12.031,12.031,12.099,12.099,0.794,0.794
96,24,52,42,0,0,3.271,3.313,70,11.951,11.951,12.032,12.032,12.087,12.087,0.798,0.798
97,24,52,42,0,0,3.270,3.315,77,11.966,11.966,12.051,12.051,12.096,12.096,0.795,0.795
98,24,52,42,0,0,3.270,3.315,77,11.966,11.966,12.051,12.051,12.096,12.096,0.799,0.799
99,24,52,42,0,0,3.273,3.312,79,11.949,11.949,12.019,12.019,12.103,12.103,0.796,0.796
100,24,52,42,0,0,3.272,3.314,74,11.959,11.959,12.050,12.050,12.078,12.078,0.792,0.792
101,24,52,42,0,0,3.275,3.313,74,11.956,11.956,12.037,12.037,12.085,12.085,0.796,0.796
102,24,52,42,0,0,3.275,3.313,81,11.956,11.956,12.037,12.037,12.085,12.085,0.793,0.793
103,24,52,42,0,0,3.274,3.312,69,11.947,11.947,12.028,12.028,12.093,12.093,0.803,0.803
104,24,52,42,0,0,3.273,3.311,75,11.957,11.957,12.020,12.020,12.085,12.085,0.798,0.798
105,24,52,42,0,0,3.273,3.311,75,11.957,11.957,12.020,12.020,12.085,12.085,0.796,0.796
106,24,52,42,0,0,3.272,3.314,79,11.960,11.960,12.035,12.035,12.094,12.094,0.807,0.807
107,24,52,42,0,0,3.272,3.315,79,11.953,11.953,12.039,12.039,12.075,12.075,0.797,0.797
108,24,52,42,0,0,3.272,3.312,80,11.964,11.964,12.046,12.046,12.085,12.085,0.796,0.796
109,24,52,42,0,0,3.272,3.312,80,11.964,11.964,12.046,12.046,12.085,12.085,0.796,0.796
110,24,52,42,0,0,3.274,3.312,73,11.953,11.953,12.053,12.053,12.088,12.088,0.803,0.803
111,24,52,42,0,0,3.274,3.312,79,11.946,11.946,12.043,12.043,12.079,12.079,0.805,0.805
112,24,52,42,0,0,3.274,3.312,79,11.946,11.946,12.043,12.043,12.079,12.079,0.812,0.812
113,24,52,42,0,0,3.273,3.315,78,11.952,11.952,12.037,12.037,12.082,12.082,0.798,0.798
114,24,52,42,0,0,3.270,3.313,77,11.958,11.958,12.037,12.037,12.075,12.075,0.787,0.787
115,24,52,42,0,0,3.274,3.313,77,11.959,11.959,12.032,12.032,12.096,12.096,0.797,0.797
116,24,52,42,0,0,3.274,3.313,76,11.959,11.959,12.032,12.032,12.096,12.096,0.797,0.797
117,24,52,42,0,0,3.272,3.314,78,11.955,11.955,12.060,12.060,12.083,12.083,0.810,0.810
118,24,52,42,0,0,3.275,3.312,75,11.955,11.955,12.036,12.036,12.092,12.092,0.795,0.795
119,24,52,42,0,0,3.275,3.312,75,11.955,11.955,12.036,12.036,12.092,12.092,0.804,0.804
120,24,52,42,0,0,3.270,3.312,74,11.963,11.963,12.037,12.037,12.099,12.099,0.798,0.798
121,24,52,42,0,0,3.278,3.314,79,11.961,11.961,12.046,12.046,12.089,12.089,0.792,0.792
122,24,52,42,0,0,3.272,3.315,79,11.968,11.968,12.040,12.040,12.092,12.092,0.793,0.793
123,24,52,42,0,0,3.272,3.315,79,11.968,11.968,12.040,12.040,12.092,12.092,0.789,0.789
124,24,52,42,0,0,3.274,3.313,78,11.956,11.956,12.032,12.032,12.087,12.087,0.800,0.800
125,24,52,42,0,0,3.274,3.313,75,11.962,11.962,12.032,12.032,12.082,12.082,0.799,0.799
126,24,52,43,0,0,3.274,3.313,75,11.962,11.962,12.032,12.032,12.082,12.082,0.805,0.805
127,24,52,42,0,0,3.272,3.312,81,11.952,11.952,12.027,12.027,12.088,12.088,0.796,0.796
128,24,52,42,0,0,3.274,3.312,73,11.946,11.946,12.029,12.029,12.084,12.084,0.801,0.801
